vin,color,brand,model,engine,transmission,mileage,price,sale,dealer,owner
0,Pearl,Jaguar,Sovereign,V6,Standard,7893,149730,438,28,322
1,Beige,Renault,RX4,Diesel,Standard,43908,142015,980,9,204
2,Purple,Volkswagen,Jetta Wagon,W,Standard,3442,147752,810,7,376
3,Grey,Kia,Carens II,W,Automatic,56042,28609,868,3,347
4,Black,Lexus,RX 400h,Electric,Automatic,16937,54790,335,8,210
5,Red,Nissan,Versa,V6,Standard,24996,143405,398,24,459
6,Black,Lexus,Harrier 4x4,Petrol,Standard,1732,13373,648,2,348
7,Beige,Suzuki,Sidekick,Diesel,Standard,55009,27633,443,4,256
8,Red,Alfa Romeo,155,Inine,Automatic,33121,43298,,15,
9,Grey,Ford,Fusion,W,Standard,60527,33598,,24,
10,Orange,Jaguar,XR8,V8,Standard,65813,78949,611,5,319
11,Red,Honda,Civic Hybrid,Petrol,Standard,14322,101550,83,27,382
12,Dark Green,Mazda,Demio,V6,Standard,48175,127696,78,17,142
13,Blue,Ford,Club Wagon,Petrol,Automatic,58306,41642,363,14,87
14,Light Grey,Hyundai,Grandeur XG,V6,Automatic,24468,17025,908,22,67
15,Red,Alfa Romeo,GT,V8,Standard,10323,148118,252,21,25
16,Orange,BMW,330,V6,Automatic,27186,29447,731,20,118
17,Grey,Peugeot,807,Diesel,Standard,28557,98675,829,5,340
18,Red,Jaguar,XJR,V8,Automatic,54507,55564,553,12,217
19,Black,Mazda,Miata,V8,Standard,30449,2774,992,20,88
20,Dark Grey,Kia,Sephia Sedan,V8,Automatic,14342,100301,921,16,190
21,Light Grey,Lexus,RX 400h,Inine,Standard,24521,146111,608,5,84
22,Beige,Audi,100 C4 Series,Petrol,Standard,55957,55559,631,19,401
23,Grey,BMW,8 Series,Inine,Automatic,72466,90285,721,23,72
24,Red,Pontiac,Trans Sport,Petrol,Standard,53763,114331,998,11,264
25,Dark Green,Jaguar,XJ8,W,Automatic,16777,136290,166,12,55
26,Orange,Pontiac,Montana SV6,Electric,Automatic,53953,13039,700,13,259
27,Orange,Hyundai,Stellar,Petrol,Standard,72123,31714,372,21,105
28,Yellow,Toyota,T100,Diesel,Standard,25493,26917,635,22,435
29,Light Grey,Pontiac,Trans Am,Electric,Standard,69254,141828,314,24,401
30,Grey,Honda,Civic,Electric,Standard,15875,89346,541,19,333
31,Dark Blue,Jaguar,XJ-SC,Inine,Automatic,13062,31285,220,14,386
32,Purple,BMW,M3,Electric,Standard,35835,35781,,23,
33,Pearl,Ferrari,512,Petrol,Standard,34903,111729,956,10,201
34,Grey,Subaru,GL,Electric,Standard,72175,121272,331,22,44
35,Black,Audi,4000,Diesel,Standard,10573,145797,978,5,78
36,Dark Blue,Peugeot,107,Electric,Standard,17176,140587,,1,
37,Yellow,Subaru,SVX,V8,Standard,64643,16355,60,7,452
38,Pearl,Lexus,SC 300,Petrol,Standard,74435,75477,,0,
39,Purple,Renault,Magnum,W,Standard,29100,73956,870,12,271
40,Dark Blue,Hyundai,Starex,V6,Standard,15243,21560,775,17,81
41,Green,Honda,Insight,Electric,Automatic,51433,40857,943,11,238
42,Dark Blue,Kia,Cerato,Diesel,Automatic,5652,84178,228,10,127
43,Orange,Volkswagen,Caddy Pickup,V6,Automatic,64437,88459,894,21,301
44,Blue,Lexus,ES 300,W,Automatic,26518,46332,74,8,375
45,Grey,Subaru,Loyale,V8,Automatic,15189,146741,239,22,272
46,Dark Blue,Kia,Carstar,V6,Automatic,74820,109851,321,18,208
47,Black,Peugeot,505,W,Automatic,7769,118153,243,21,451
48,Orange,BMW,Bavaria,Electric,Automatic,16317,47698,965,14,189
49,White,Kia,Sephia,Electric,Standard,3967,34923,720,18,353
50,Beige,Maserati,GranSport Spyder,Inine,Standard,27260,42481,579,5,206
51,Purple,Pontiac,G6,Inine,Automatic,4794,22967,554,6,417
52,Yellow,Mazda,Metro,V8,Automatic,18536,138797,345,16,83
53,Light Grey,Nissan,Titan,V8,Automatic,44055,102789,874,28,110
54,Dark Grey,Maserati,Spyder,Diesel,Automatic,68679,135063,289,2,206
55,Red,Ford,Elite,Inine,Standard,22898,116473,625,16,103
56,Black,Subaru,B9 Tribeca,Inine,Standard,66944,104454,155,25,127
57,Purple,Volkswagen,Combi,V8,Automatic,3588,11645,383,17,499
58,Light Grey,Toyota,Prius,Diesel,Automatic,71559,91871,,17,
59,Orange,Hyundai,Amica,Inine,Automatic,1551,31283,849,24,306
60,Grey,Lexus,ES 350,Inine,Automatic,74421,18398,110,14,329
61,Purple,Hyundai,Atos,Inine,Automatic,37769,82594,622,4,320
62,Grey,Fiat,Ducato,Petrol,Standard,53578,101674,334,4,126
63,Black,Renault,Medaillon,Inine,Standard,6464,79880,390,11,274
64,Red,Jaguar,X300,V6,Automatic,17772,16340,608,5,84
